name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Michael Mmoh,2019,11,13,65%,68%,47%,33,64%,43,72%,61%,37%,48%,36,31%,44,25%,41%,50%,108,188,52,,201.2,,,,
Pablo Andujar,2019,26,55,61%,66%,48%,124,51%,202,70%,59%,29%,52%,106,43%,202,23%,38%,49%,82,180,4,,171.3,,,,
Jaume Munar,2019,48,12,62%,69%,50%,57,51%,115,76%,62%,32%,50%,69,38%,115,23%,39%,50%,74,183,32,,153.0,,,,
Hugo Gaston,2019,0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,0,173,5,,,,,,
Yoshihito Nishioka,2019,63,35,67%,63%,55%,234,63%,329,74%,60%,28%,53%,200,41%,330,25%,38%,50%,75,170,53,11.0,232.9,40.5%,63.2%,66.7%,62.5%
Laslo Djere,2019,75,41,61%,68%,45%,85,53%,132,70%,59%,26%,44%,57,37%,134,16%,33%,46%,91,188,15,,193.8,,,,
Tommy Paul,2019,15,5,63%,70%,53%,23,65%,36,78%,64%,32%,63%,26,50%,37,35%,44%,54%,195,185,61,68.0,115.2,50.0%,65.2%,0.0%,0.0%
Leonardo Mayer,2019,91,61,58%,75%,52%,90,69%,166,83%,65%,24%,46%,52,40%,165,13%,32%,49%,54,191,21,,172.9,,,,
Marc Polmans,2019,12,12,64%,67%,48%,35,60%,48,71%,60%,25%,58%,41,32%,47,28%,40%,50%,170,188,33,,,,,,
Mikhail Kukushkin,2019,79,33,63%,66%,54%,186,56%,324,75%,61%,27%,51%,195,37%,322,22%,36%,49%,56,183,36,63.0,180.5,36.9%,56.5%,53.8%,33.3%
Tennys Sandgren,2019,177,53,61%,74%,49%,135,61%,264,80%,64%,26%,44%,123,31%,262,15%,33%,49%,63,188,30,,172.9,,,,
