ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,Sousa J.,76,59,711,891,6,3,6,4,7,6,,,,,3,0,Completed,1.9,1.9,1.81,2.12,1.91,2.12,1.8,2.01
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Tabilo A.,Galan D.E.,208,186,233,269,4,6,6,3,6,4,6,7,6,4,3,2,Completed,2.5,1.53,2.66,1.54,2.66,1.56,2.54,1.52
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Cecchinato M.,7,77,3345,710,6,4,7,6,6,3,,,,,3,0,Completed,1.08,8,1.12,7.51,1.12,9.3,1.1,7.15
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Isner J.,Monteiro T.,19,86,1860,640,6,7,7,6,7,6,7,6,,,3,1,Completed,1.3,3.5,1.25,4.42,1.32,4.42,1.24,4.03
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Koepfer D.,168,89,300,609,6,3,6,4,7,5,,,,,3,0,Completed,2.5,1.53,2.39,1.65,2.67,1.65,2.43,1.56
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Ivashka I.,122,149,445,354,6,4,2,6,4,6,6,4,7,6,3,2,Completed,1.22,4.33,1.27,4.18,1.28,4.7,1.23,4.17
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Pospisil V.,124,138,436,392,7,6,6,4,7,5,,,,,3,0,Completed,4,1.25,4.07,1.28,4.33,1.29,3.93,1.25
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gerasimov E.,Ruud C.,98,48,575,1079,6,3,7,6,1,6,4,6,7,6,3,2,Completed,3,1.4,3.11,1.42,3.2,1.43,3.03,1.38
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Cuevas P.,61,46,890,1097,6,1,6,3,6,3,,,,,3,0,Completed,1.44,2.75,1.4,3.2,1.46,3.24,1.38,2.99
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Querrey S.,Berankis R.,45,69,1100,804,7,6,4,6,6,4,6,4,,,3,1,Completed,1.33,3.4,1.37,3.42,1.37,3.65,1.34,3.27
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Pella G.,Barrere G.,25,84,1585,649,6,1,6,4,3,6,6,3,,,3,1,Completed,1.4,3,1.44,3.02,1.48,3.05,1.43,2.82
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Nishioka Y.,Evans D.,71,32,797,1349,6,4,6,3,6,4,,,,,3,0,Completed,2.3,1.61,2.41,1.64,2.41,1.75,2.27,1.64
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Paire B.,39,21,1205,1703,6,2,6,7,3,6,6,1,7,6,3,2,Completed,1.4,3,1.39,3.3,1.43,3.35,1.37,3.09
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Schwartzman D.,Davidovich Fokina A.,14,88,2130,627,6,1,6,4,6,2,,,,,3,0,Completed,1.12,6,1.17,5.84,1.2,6.55,1.15,5.47
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fucsovics M.,Sinner J.,67,82,827,671,6,4,6,4,6,3,,,,,3,0,Completed,2.1,1.72,2.12,1.81,2.2,1.84,2.06,1.77
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Ito T.,2,146,9720,362,6,1,6,4,6,2,,,,,3,0,Completed,1.005,29,1.005,37.07,1.01,50,1.01,25.7
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Sandgren T.,Berrettini M.,100,8,573,2870,7,6,6,4,4,6,2,6,7,5,3,2,Completed,4.5,1.2,5.03,1.21,5.05,1.27,4.54,1.2
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Tsitsipas S.,Kohlschreiber P.,6,79,5375,700,,,,,,,,,,,,,Walkover,1.14,5.5,1.18,5.76,1.18,6.2,1.15,5.44
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Paul T.,Dimitrov G.,80,20,696,1772,6,4,7,6,3,6,6,7,7,6,3,2,Completed,3.2,1.36,3.37,1.37,3.37,1.38,3.17,1.36
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Raonic M.,Garin C.,35,36,1305,1285,6,3,6,4,6,2,,,,,3,0,Completed,1.28,3.75,1.31,3.79,1.38,3.83,1.3,3.54
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Lajovic D.,Polmans M.,27,133,1516,411,6,2,6,4,6,3,,,,,3,0,Completed,1.22,4.33,1.24,4.62,1.26,4.82,1.21,4.38
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Millman J.,Hurkacz H.,47,31,1096,1398,6,4,7,5,6,3,,,,,3,0,Completed,2,1.8,2.1,1.83,2.2,1.85,2.07,1.76
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista Agut R.,Mmoh M.,9,217,2630,219,5,7,6,2,6,4,6,1,,,3,1,Completed,1.08,8,1.09,9.17,1.11,11.3,1.08,7.88
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fognini F.,Thompson J.,12,66,2310,843,7,6,6,1,3,6,4,6,7,6,3,2,Completed,1.66,2.2,1.74,2.22,1.75,2.5,1.67,2.2
4,Melbourne,Australian Open,22/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Krajinovic F.,3,41,6590,1158,6,1,6,4,6,1,,,,,3,0,Completed,1.02,17,1.03,17.74,1.07,25,1.03,14.08
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Gulbis E.,Bedene A.,256,55,179,950,7,5,6,3,6,2,,,,,3,0,Completed,3,1.4,3.04,1.44,3.1,1.55,2.84,1.43
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Medvedev D.,Martinez P.,4,168,5960,300,7,5,6,1,6,3,,,,,3,0,Completed,1.01,21,1.01,27.94,1.02,35,1.01,19.48
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Bolt A.,5,140,5890,377,6,2,5,7,6,7,6,1,6,2,3,2,Completed,1.07,9,1.11,8.18,1.11,11.5,1.07,8.43
4,Melbourne,Australian Open,23/01/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Gerasimov E.,7,98,3345,575,7,6,6,4,7,5,,,,,3,0,Completed,1.2,4.5,1.19,5.42,1.22,5.42,1.18,4.87
